SMILES	RT
CC(C1=CN=CC=C1)O	14.96940512
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	80.33550088
CC=C(C)C(=O)NCC(=O)O	46.95555804
C(C(C(C(C(C(=O)O)N)O)O)O)O	107.4435711
CN1CCCCC1CCO	81.80282588
CSCCC(C(=O)NC(CCCN=C(N)N)C(=O)O)N	133.9219149
C1=C(NC=N1)CC(C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)O)N	150.116469
C(CC(=O)O)CNCCCN	90.84264247
CC(C)CC(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)N)N	120.4520572
C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O	158.0871236
CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C	42.90770926
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	155.9644135
CNCC(CO)O	83.48541414
C(C(C(=O)NC(CC(=O)N)C(=O)O)N)C(=O)N	142.9171828
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	36.86348597
C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O	151.812786
C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl	15.9516434
CCCCCC=CCC=CCC=CCCCCCCC(=O)NCCO	13.15321787
CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)I	14.70015798
CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(CCC(=O)N)N	135.6761184
CCCC[N+](CCCC)(CCCC)CCCC	18.69586941
C1CC(CC1C(=O)O)(C(=O)O)N	134.741677
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	24.48474668
CC1=C(C=CC(=C1)O)O	38.91028165
CN1C=NC2=C1C(=O)N(C(=O)N2C)C	15.65842114
CC(=O)NC1=NN=C(S1)S(=O)(=O)N	19.69221175
CNCCC1=CNC2=CC=CC=C21	65.5202733
CC(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	120.6057712
C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)O	125.4874236
CCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(N)C(=O)O	92.59887132
CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C	13.1902469
C1CCC(CC1)NC2CCCCC2	27.84282167
C(CC(=O)O)C(C(=O)N)N	125.353293
